call_id,ai_response,response_time,timestamp
001,We will replace your order,1.8,2024-01-28T14:24:35
002,We will process a refund,0.9,2024-01-28T14:26:22
003,We will escalate your request,2.4,2024-01-28T14:28:11
004,Your order is on the way,1.5,2024-01-28T14:29:47
005,We have issued a partial refund,2.2,2024-01-28T14:32:05
006,We are checking with the restaurant,0.8,2024-01-28T14:35:22
007,We apologize for the issue,1.7,2024-01-28T14:27:15
008,We will send a new item,1.1,2024-01-28T14:30:09
009,We have reported this to our team,2.5,2024-01-28T14:31:55
010,We will contact the delivery driver,0.9,2024-01-28T14:33:45
011,We will investigate this issue,1.6,2024-01-28T14:36:30
012,We will notify the restaurant,2.8,2024-01-28T14:24:55
013,We are looking into your concern,1.4,2024-01-28T14:27:41
014,You will receive a refund within 3 days,2.0,2024-01-28T14:30:18
015,We have updated your order,0.7,2024-01-28T14:32:50
016,Your complaint has been logged,1.3,2024-01-28T14:34:39
017,We will reassign a new driver,2.6,2024-01-28T14:29:28
018,We have credited your account,1.9,2024-01-28T14:31:16
019,Please allow some time for processing,2.1,2024-01-28T14:33:27
020,We have noted your concern,0.8,2024-01-28T14:35:12
021,We will replace your order,1.5,2024-01-28T14:25:48
022,We will process a refund,0.9,2024-01-28T14:27:32
023,We will escalate your request,2.4,2024-01-28T14:29:19
024,Your order is on the way,1.6,2024-01-28T14:31:07
025,We have issued a partial refund,2.3,2024-01-28T14:33:01
026,We are checking with the restaurant,0.7,2024-01-28T14:36:20
027,We apologize for the issue,1.8,2024-01-28T14:28:05
028,We will send a new item,1.2,2024-01-28T14:30:55
029,We have reported this to our team,2.7,2024-01-28T14:32:40
030,We will contact the delivery driver,0.8,2024-01-28T14:34:23
